x_s,y_s,x_a,y_a,dx,dy,direction
400,200,624,264,-224,-64,1
403,203,624,264,-221,-61,1
406,206,624,264,-218,-58,1
409,209,624,264,-215,-55,1
412,212,624,264,-212,-52,1
415,215,624,264,-209,-49,1
418,218,624,264,-206,-46,1
421,221,624,264,-203,-43,1
424,224,624,264,-200,-40,1
427,227,624,264,-197,-37,1
430,230,624,264,-194,-34,1
433,233,624,264,-191,-31,1
436,236,624,264,-188,-28,1
439,239,624,264,-185,-25,1
442,242,624,264,-182,-22,1
445,245,624,264,-179,-19,1
448,248,624,264,-176,-16,1
451,251,624,264,-173,-13,1
454,254,624,264,-170,-10,1
457,257,624,264,-167,-7,1
460,260,624,264,-164,-4,1
463,263,624,264,-161,-1,1
466,266,624,264,-158,2,3
469,263,624,264,-155,-1,1
472,266,624,264,-152,2,3
475,263,624,264,-149,-1,1
478,266,624,264,-146,2,3
481,263,624,264,-143,-1,1
484,266,624,264,-140,2,3
487,263,624,264,-137,-1,1
490,266,624,264,-134,2,3
493,263,624,264,-131,-1,1
496,266,624,264,-128,2,3
499,263,624,264,-125,-1,1
502,266,624,264,-122,2,3
505,263,624,264,-119,-1,1
508,266,624,264,-116,2,3
511,263,624,264,-113,-1,1
514,266,624,264,-110,2,3
517,263,624,264,-107,-1,1
520,266,624,264,-104,2,3
523,263,624,264,-101,-1,1
526,266,624,264,-98,2,3
529,263,624,264,-95,-1,1
532,266,624,264,-92,2,3
535,263,624,264,-89,-1,1
538,266,624,264,-86,2,3
541,263,624,264,-83,-1,1
544,266,624,264,-80,2,3
547,263,624,264,-77,-1,1
550,266,624,264,-74,2,3
553,263,624,264,-71,-1,1
556,266,624,264,-68,2,3
559,263,624,264,-65,-1,1
562,266,624,264,-62,2,3
565,263,624,264,-59,-1,1
568,266,624,264,-56,2,3
571,263,624,264,-53,-1,1
574,266,624,264,-50,2,3
577,263,624,264,-47,-1,1
580,266,624,264,-44,2,3
583,263,624,264,-41,-1,1
586,266,624,264,-38,2,3
589,263,624,264,-35,-1,1
592,266,624,264,-32,2,3
595,263,600,368,-5,-105,1
598,266,600,368,-2,-102,1
601,269,600,368,1,-99,7
598,272,600,368,-2,-96,1
601,275,600,368,1,-93,7
598,278,600,368,-2,-90,1
601,281,600,368,1,-87,7
598,284,600,368,-2,-84,1
601,287,600,368,1,-81,7
598,290,600,368,-2,-78,1
601,293,600,368,1,-75,7
598,296,600,368,-2,-72,1
601,299,600,368,1,-69,7
598,302,600,368,-2,-66,1
601,305,600,368,1,-63,7
598,308,600,368,-2,-60,1
601,311,600,368,1,-57,7
598,314,600,368,-2,-54,1
601,317,600,368,1,-51,7
598,320,600,368,-2,-48,1
601,323,600,368,1,-45,7
598,326,600,368,-2,-42,1
601,329,600,368,1,-39,7
598,332,600,368,-2,-36,1
601,335,600,368,1,-33,7
598,338,96,120,502,218,5
595,335,96,120,499,215,5
592,332,96,120,496,212,5
589,329,96,120,493,209,5
586,326,96,120,490,206,5
583,323,96,120,487,203,5
580,320,96,120,484,200,5
